goos: linux
goarch: amd64
pkg: github.com/qatoolist/wowapi/perf/requestbench
cpu: VirtualApple @ 2.50GHz
BenchmarkRealPostgresRequests/public/cold/tenants-1-16         	       1	    360754 ns/op	         0 authz_query-ns/request	        58.00 bytes/request	     57792 handler_query-ns/request	         0 lockwait-ns/request	     12542 middleware-ns/request	     73084 p50-ns/request	     73084 p95-ns/request	     73084 p99-ns/request	       125.0 pool_wait-ns/request	       125.0 poolwait-ns/request	      2625 serialization-ns/request	         1.000 sql/request	         0 tx-ns/request	         0 tx_setup-ns/request	   24112 B/op	     239 allocs/op
BenchmarkRealPostgresRequests/public/cold/tenants-10-16        	       1	   1304930 ns/op	         0 authz_query-ns/request	        58.00 bytes/request	    215897 handler_query-ns/request	         0 lockwait-ns/request	     16642 middleware-ns/request	    270461 p50-ns/request	    900384 p95-ns/request	    900384 p99-ns/request	        99.00 pool_wait-ns/request	        99.00 poolwait-ns/request	     74279 serialization-ns/request	         1.000 sql/request	         0 tx-ns/request	         0 tx_setup-ns/request	  146424 B/op	     981 allocs/op
BenchmarkRealPostgresRequests/public/cold/tenants-100-16       	       1	   2330523 ns/op	         0 authz_query-ns/request	        58.00 bytes/request	   1040587 handler_query-ns/request	         0 lockwait-ns/request	         0 middleware-ns/request	   1136678 p50-ns/request	   1505306 p95-ns/request	   1657683 p99-ns/request	    654870 pool_wait-ns/request	    654870 poolwait-ns/request	      2811 serialization-ns/request	         1.000 sql/request	         0 tx-ns/request	         0 tx_setup-ns/request	 1347072 B/op	    8394 allocs/op
BenchmarkRealPostgresRequests/public/warm/tenants-1-16         	       1	    166585 ns/op	         0 authz_query-ns/request	        58.00 bytes/request	     40375 handler_query-ns/request	         0 lockwait-ns/request	      8916 middleware-ns/request	     53125 p50-ns/request	     53125 p95-ns/request	     53125 p99-ns/request	        84.00 pool_wait-ns/request	        84.00 poolwait-ns/request	      3750 serialization-ns/request	         1.000 sql/request	         0 tx-ns/request	         0 tx_setup-ns/request	   38976 B/op	     317 allocs/op
BenchmarkRealPostgresRequests/public/warm/tenants-10-16        	       1	    909301 ns/op	         0 authz_query-ns/request	        58.00 bytes/request	    137222 handler_query-ns/request	         0 lockwait-ns/request	     25175 middleware-ns/request	    149835 p50-ns/request	    260711 p95-ns/request	    260711 p99-ns/request	       187.0 pool_wait-ns/request	       187.0 poolwait-ns/request	      2508 serialization-ns/request	         1.000 sql/request	         0 tx-ns/request	         0 tx_setup-ns/request	  274448 B/op	    1746 allocs/op
BenchmarkRealPostgresRequests/public/warm/tenants-100-16       	       1	   9136423 ns/op	         0 authz_query-ns/request	        58.00 bytes/request	    628106 handler_query-ns/request	         0 lockwait-ns/request	    816124 middleware-ns/request	   1207970 p50-ns/request	   3413117 p95-ns/request	   3797079 p99-ns/request	       305.0 pool_wait-ns/request	       305.0 poolwait-ns/request	      2423 serialization-ns/request	         1.000 sql/request	         0 tx-ns/request	         0 tx_setup-ns/request	 2594312 B/op	   15635 allocs/op
BenchmarkRealPostgresRequests/authenticated-read/cold/tenants-1-16         	       1	   1670059 ns/op	    505463 authz_query-ns/request	        58.00 bytes/request	     48209 handler_query-ns/request	         0 lockwait-ns/request	     30627 middleware-ns/request	   1554266 p50-ns/request	   1554266 p95-ns/request	   1554266 p99-ns/request	       250.0 pool_wait-ns/request	       250.0 poolwait-ns/request	      5000 serialization-ns/request	        17.00 sql/request	   1519265 tx-ns/request	    964717 tx_setup-ns/request	   86624 B/op	     714 allocs/op
BenchmarkRealPostgresRequests/authenticated-read/cold/tenants-10-16        	       1	   5312677 ns/op	   1085581 authz_query-ns/request	        58.00 bytes/request	    102513 handler_query-ns/request	         0 lockwait-ns/request	     28096 middleware-ns/request	   3294241 p50-ns/request	   3614786 p95-ns/request	   3614786 p99-ns/request	       349.0 pool_wait-ns/request	       349.0 poolwait-ns/request	      6195 serialization-ns/request	        17.00 sql/request	   3121976 tx-ns/request	   1933102 tx_setup-ns/request	  728560 B/op	    5311 allocs/op
BenchmarkRealPostgresRequests/authenticated-read/cold/tenants-100-16       	       1	  30913098 ns/op	   1893559 authz_query-ns/request	        58.00 bytes/request	    345551 handler_query-ns/request	         0 lockwait-ns/request	         0 middleware-ns/request	  24369158 p50-ns/request	  27140685 p95-ns/request	  28310072 p99-ns/request	  12915757 pool_wait-ns/request	  12915757 poolwait-ns/request	      5397 serialization-ns/request	        17.00 sql/request	  21892121 tx-ns/request	  19651968 tx_setup-ns/request	 7998232 B/op	   51038 allocs/op
BenchmarkRealPostgresRequests/authenticated-read/warm/tenants-1-16         	       1	   1473639 ns/op	     33292 authz_query-ns/request	        58.00 bytes/request	    149127 handler_query-ns/request	         0 lockwait-ns/request	     38002 middleware-ns/request	    792466 p50-ns/request	    792466 p95-ns/request	    792466 p99-ns/request	       208.0 pool_wait-ns/request	       208.0 poolwait-ns/request	     19416 serialization-ns/request	        16.00 sql/request	    735340 tx-ns/request	    552421 tx_setup-ns/request	  151648 B/op	    1063 allocs/op
BenchmarkRealPostgresRequests/authenticated-read/warm/tenants-10-16        	       1	  10061725 ns/op	    163318 authz_query-ns/request	        58.00 bytes/request	    129547 handler_query-ns/request	         0 lockwait-ns/request	     19175 middleware-ns/request	   2139521 p50-ns/request	   2262189 p95-ns/request	   2262189 p99-ns/request	       312.0 pool_wait-ns/request	       312.0 poolwait-ns/request	      5704 serialization-ns/request	        16.00 sql/request	   2074324 tx-ns/request	   1780725 tx_setup-ns/request	 1354360 B/op	    8976 allocs/op
